CustomerID,Timestamp,Category,FeedbackText,Score,Sentiment
CUST-1291,2026-06-09 13:56:36,Customer Support,Support team resolved our configuration issue in 10 minutes.,5,Positive
CUST-1074,2026-03-29 13:56:36,UX/UI Design,"Extremely polished user interface, feels state-of-the-art.",5,Positive
CUST-1437,2026-05-11 13:56:36,Pricing,Great platform but a bit expensive for small startups.,3,Neutral
CUST-1042,2026-03-20 13:56:36,Customer Support,Support staff is helpful but lacks technical depth.,3,Neutral
CUST-1408,2026-05-03 13:56:36,Product Features,Love the cohort retention heatmaps! Very insightful.,5,Positive
CUST-1027,2026-03-24 13:56:36,Product Features,The AI reporting feature saves us at least 5 hours a week.,5,Positive
CUST-1253,2026-05-14 13:56:36,Pricing,Pricing structure is confusing and tiers scale too fast.,2,Negative
CUST-1328,2026-05-17 13:56:36,Product Features,Needs more direct integrations with Salesforce and HubSpot.,3,Neutral
CUST-1212,2026-04-20 13:56:36,Customer Support,Support team resolved our configuration issue in 10 minutes.,5,Positive
CUST-1122,2026-05-07 13:56:36,Product Features,Needs more direct integrations with Salesforce and HubSpot.,3,Neutral
CUST-1265,2026-06-05 13:56:36,UX/UI Design,Clean and interactive charts! Highly intuitive.,5,Positive
CUST-1197,2026-04-01 13:56:36,Reliability/Bugs,"Solid performance, never experienced downtime.",5,Positive
CUST-1424,2026-04-26 13:56:36,Customer Support,Support staff is helpful but lacks technical depth.,3,Neutral
CUST-1418,2026-04-28 13:56:36,Reliability/Bugs,"Solid performance, never experienced downtime.",5,Positive
CUST-1337,2026-06-05 13:56:36,UX/UI Design,Looks modern but mobile responsiveness could be improved.,3,Neutral
CUST-1366,2026-05-13 13:56:36,Pricing,Pricing is perfectly aligned with the value we get.,5,Positive
CUST-1485,2026-04-05 13:56:36,UX/UI Design,Clean and interactive charts! Highly intuitive.,5,Positive
CUST-1203,2026-06-07 13:56:36,Product Features,AI recommendation engine is decent but needs custom prompts.,4,Positive
CUST-1196,2026-06-01 13:56:36,Pricing,Pricing is perfectly aligned with the value we get.,5,Positive
CUST-1288,2026-05-15 13:56:36,UX/UI Design,Clean and interactive charts! Highly intuitive.,5,Positive
CUST-1236,2026-06-02 13:56:36,Pricing,"A bit steep, but standard for the industry.",4,Positive
CUST-1473,2026-05-06 13:56:36,UX/UI Design,Looks modern but mobile responsiveness could be improved.,3,Neutral
CUST-1233,2026-03-19 13:56:36,Customer Support,"Hard to reach support, took 2 days for a reply.",2,Negative
CUST-1093,2026-05-10 13:56:36,Product Features,Needs more direct integrations with Salesforce and HubSpot.,3,Neutral
CUST-1150,2026-04-28 13:56:36,Reliability/Bugs,"Solid performance, never experienced downtime.",5,Positive
CUST-1151,2026-04-26 13:56:36,Pricing,Great platform but a bit expensive for small startups.,3,Neutral
CUST-1053,2026-05-28 13:56:36,Pricing,Pricing is perfectly aligned with the value we get.,5,Positive
CUST-1058,2026-05-20 13:56:36,Pricing,Enterprise plan offers good value for large teams.,5,Positive
CUST-1319,2026-06-04 13:56:36,Product Features,Needs more direct integrations with Salesforce and HubSpot.,3,Neutral
CUST-1030,2026-04-21 13:56:36,Product Features,Love the cohort retention heatmaps! Very insightful.,5,Positive
CUST-1251,2026-05-15 13:56:36,Reliability/Bugs,Frequent timeouts when running heavy data analysis.,2,Negative
CUST-1330,2026-05-13 13:56:36,UX/UI Design,Clean and interactive charts! Highly intuitive.,5,Positive
CUST-1342,2026-03-31 13:56:36,Customer Support,Support team resolved our configuration issue in 10 minutes.,5,Positive
CUST-1325,2026-04-02 13:56:36,Product Features,Needs more direct integrations with Salesforce and HubSpot.,3,Neutral
CUST-1194,2026-04-25 13:56:36,Product Features,The AI reporting feature saves us at least 5 hours a week.,5,Positive
CUST-1436,2026-04-13 13:56:36,Product Features,Love the cohort retention heatmaps! Very insightful.,5,Positive
CUST-1343,2026-04-04 13:56:36,Product Features,The AI reporting feature saves us at least 5 hours a week.,5,Positive
CUST-1123,2026-04-14 13:56:36,Reliability/Bugs,"Solid performance, never experienced downtime.",5,Positive
CUST-1323,2026-05-21 13:56:36,Pricing,Pricing is perfectly aligned with the value we get.,5,Positive
CUST-1020,2026-04-14 13:56:36,Reliability/Bugs,"Solid performance, never experienced downtime.",5,Positive
CUST-1046,2026-05-30 13:56:36,Product Features,Needs more direct integrations with Salesforce and HubSpot.,3,Neutral
CUST-1006,2026-05-07 13:56:36,Customer Support,Support staff is helpful but lacks technical depth.,3,Neutral
CUST-1244,2026-05-24 13:56:36,UX/UI Design,"Beautiful UI, but dark mode should be more customizable.",4,Positive
CUST-1399,2026-04-27 13:56:36,Product Features,Needs more direct integrations with Salesforce and HubSpot.,3,Neutral
CUST-1160,2026-03-19 13:56:36,Customer Support,Support team resolved our configuration issue in 10 minutes.,5,Positive
